term,p-value,q-value
Regulation Of Neuron Death (GO:1901214),8.680294201794508e-06,0.0036630841531572825
Regulation Of Neuron Apoptotic Process (GO:0043523),9.05553488915757e-05,0.01910717861612247
Positive Regulation Of Synapse Maturation (GO:0090129),0.0001374142536235155,0.019329605009707845
Regulation Of Synapse Maturation (GO:0090128),0.00022021306777319987,0.023232478650072587
Positive Regulation Of Synaptic Transmission (GO:0050806),0.0006930588843394041,0.0483495256613206
Long-Term Memory (GO:0007616),0.0009165786855226654,0.0483495256613206
Long-Term Synaptic Potentiation (GO:0060291),0.0009165786855226654,0.0483495256613206
Regulation Of Calcium Ion Transmembrane Transport (GO:1903169),0.0009165786855226654,0.0483495256613206
Positive Regulation Of Excitatory Postsynaptic Potential (GO:2000463),0.0011111839587462763,0.052102181176769846
Organelle Membrane Fusion (GO:0090174),0.0015544397883284894,0.06559735906746225
Positive Regulation Of Lipid Kinase Activity (GO:0090218),0.002068700520484921,0.07168199407830389
Modulation Of Excitatory Postsynaptic Potential (GO:0098815),0.002208213087720262,0.07168199407830389
Presynaptic Endocytosis (GO:0140238),0.002208213087720262,0.07168199407830389
Regulation Of Neuronal Synaptic Plasticity (GO:0048168),0.002652713619192561,0.07505712142000089
Modulation Of Chemical Synaptic Transmission (GO:0050804),0.0026679071594787047,0.07505712142000089
Protein-Containing Complex Organization (GO:0043933),0.002856181987193151,0.07533179991221936
Regulation Of Neurotransmitter Secretion (GO:0046928),0.003305242431559913,0.07748957256212685
Signal Release From Synapse (GO:0099643),0.003305242431559913,0.07748957256212685
Synaptic Vesicle Endocytosis (GO:0048488),0.0036568180781167098,0.07753961751929359
Synaptic Vesicle Exocytosis (GO:0016079),0.0038388674215502957,0.07753961751929359
Regulation Of Neurotransmitter Receptor Activity (GO:0099601),0.004025066020184411,0.07753961751929359
Neurotransmitter Secretion (GO:0007269),0.004215395129783775,0.07753961751929359
Positive Regulation Of Protein Kinase Activity (GO:0045860),0.0042389750723467136,0.07753961751929359
Synaptic Vesicle Recycling (GO:0036465),0.004409836067447976,0.07753961751929359
Negative Regulation Of Cell Projection Organization (GO:0031345),0.0056617913266769635,0.09557103759430714
Regulation Of Neuron Projection Development (GO:0010975),0.007025538191059525,0.11402988910104306
Memory (GO:0007613),0.007553429881131848,0.11768537138152774
Regulation Of Secretion By Cell (GO:1903530),0.00913389091566729,0.11768537138152774
Regulation Of Glutamate Receptor Signaling Pathway (GO:1900449),0.011200494038323646,0.11768537138152774
