term,p-value,q-value
Neurotransmitter Secretion (GO:0007269),2.4611077296939526e-11,3.2535844186554054e-08
Signal Release From Synapse (GO:0099643),2.1014660823673377e-10,1.38906908044481e-07
Chemical Synaptic Transmission (GO:0007268),7.59598836665803e-09,3.0230867473200927e-06
Modulation Of Chemical Synaptic Transmission (GO:0050804),9.315607263879495e-09,3.0230867473200927e-06
Synaptic Vesicle Exocytosis (GO:0016079),1.143376228184604e-08,3.0230867473200927e-06
Vesicle-Mediated Transport In Synapse (GO:0099003),2.4658395978948186e-08,5.433066580694917e-06
Regulation Of Neuronal Synaptic Plasticity (GO:0048168),6.529189623701555e-08,1.2330840975047795e-05
Synaptic Vesicle Cycle (GO:0099504),1.2156869339478844e-07,2.008922658348879e-05
Anterograde Trans-Synaptic Signaling (GO:0098916),2.6798348550300923e-07,3.9363796426108686e-05
Regulation Of Neurotransmitter Receptor Activity (GO:0099601),3.0430615809241457e-07,4.02292740998172e-05
Neurotransmitter Transport (GO:0006836),1.3771237312971162e-06,0.00016550523388861706
Regulation Of Neuron Projection Development (GO:0010975),3.1182642281228906e-06,0.00034352877579820514
Positive Regulation Of Tau-Protein Kinase Activity (GO:1902949),1.2226142011827373e-05,0.0011646126934414286
Monoatomic Cation Transmembrane Transport (GO:0098655),1.2333266042496219e-05,0.0011646126934414286
Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903320),1.348581210202756e-05,0.0011885495732586956
Synaptic Vesicle Docking (GO:0016081),2.4257307039154177e-05,0.002004259994110114
Positive Regulation Of Protein Kinase Activity (GO:0045860),2.8833268294644503e-05,0.002242210628560002
Axonogenesis (GO:0007409),3.930250242718382e-05,0.0028218630468017734
Exocytosis (GO:0006887),4.0556276769465727e-05,0.0028218630468017734
Regulation Of Neurotransmitter Secretion (GO:0046928),5.267101566645483e-05,0.003481554135552664
Inorganic Cation Transmembrane Transport (GO:0098662),6.443243060821973e-05,0.004056174917336499
Regulation Of Anatomical Structure Morphogenesis (GO:0022603),7.249854158156055e-05,0.004356503271401048
Positive Regulation Of Excitatory Postsynaptic Potential (GO:2000463),8.307791846540345e-05,0.004747586543011121
Regulation Of Axonogenesis (GO:0050770),8.618916568250143e-05,0.004747586543011121
