term,p-value,q-value
G Protein-Coupled Glutamate Receptor Signaling Pathway (GO:0007216),0.0005354125163723767,0.09690966546340019
Glutamate Receptor Signaling Pathway (GO:0007215),0.004624658767778083,0.23849773991310055
"Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)",0.011122382711878437,0.23849773991310055
Macromolecule Biosynthetic Process (GO:0009059),0.016090876017629163,0.23849773991310055
Negative Regulation Of Keratinocyte Proliferation (GO:0010839),0.020127082181830118,0.23849773991310055
Fucose Catabolic Process (GO:0019317),0.0229696971452446,0.23849773991310055
L-fucose Catabolic Process (GO:0042355),0.0229696971452446,0.23849773991310055
L-fucose Metabolic Process (GO:0042354),0.0229696971452446,0.23849773991310055
Negative Regulation Of Mitotic Nuclear Division (GO:0045839),0.0229696971452446,0.23849773991310055
Regulation Of Cellular Extravasation (GO:0002691),0.02580420824342157,0.23849773991310055
Necroptotic Process (GO:0070266),0.02580420824342157,0.23849773991310055
Kinetochore Assembly (GO:0051382),0.02580420824342157,0.23849773991310055
Negative Regulation Of Adenylate Cyclase Activity (GO:0007194),0.028630638041239193,0.23849773991310055
Kinetochore Organization (GO:0051383),0.028630638041239193,0.23849773991310055
Negative Regulation Of Nuclear Division (GO:0051784),0.028630638041239193,0.23849773991310055
Regulation Of RNA Metabolic Process (GO:0051252),0.02870290791913174,0.23849773991310055
Cytoplasmic Translation (GO:0002181),0.029875771771477065,0.23849773991310055
Programmed Necrotic Cell Death (GO:0097300),0.03144900907971979,0.23849773991310055
Negative Regulation Of Cyclase Activity (GO:0031280),0.03144900907971979,0.23849773991310055
Regulation Of Ventricular Cardiac Muscle Cell Action Potential (GO:0098911),0.03144900907971979,0.23849773991310055
Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903037),0.03144900907971979,0.23849773991310055
Regulation Of Leukocyte Tethering Or Rolling (GO:1903236),0.03144900907971979,0.23849773991310055
Visual Learning (GO:0008542),0.03144900907971979,0.23849773991310055
Regulation Of Leukocyte Adhesion To Vascular Endothelial Cell (GO:1904994),0.03425934385492052,0.23849773991310055
Attachment Of Mitotic Spindle Microtubules To Kinetochore (GO:0051315),0.03425934385492052,0.23849773991310055
Polysaccharide Biosynthetic Process (GO:0000271),0.03425934385492052,0.23849773991310055
Negative Regulation Of Lyase Activity (GO:0051350),0.03706166481216687,0.24084137648263498
"Maturation Of LSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)",0.039855994355866974,0.24084137648263498
Centromere Complex Assembly (GO:0034508),0.039855994355866974,0.24084137648263498
Cell-Matrix Adhesion (GO:0007160),0.039918460190491986,0.24084137648263498
Regulation Of Adenylate Cyclase Activity (GO:0045761),0.0481912576899168,0.27947411677735956
Modulation Of Chemical Synaptic Transmission (GO:0050804),0.04960093832942437,0.27947411677735956
