term,p-value,q-value
Neuron Projection (GO:0043005),3.8285498974201284e-10,6.623391322536821e-08
Dendrite (GO:0030425),2.6278645915175596e-07,2.2731028716626892e-05
Cytoskeleton (GO:0005856),6.108831571502619e-07,3.52275953956651e-05
Vesicle (GO:0031982),1.0017909720061945e-05,0.00043327459539267916
"Proton-Transporting V-type ATPase, V0 Domain (GO:0033179)",2.4257307039154177e-05,0.0006994190196289454
"Vacuolar Proton-Transporting V-type ATPase, V0 Domain (GO:0000220)",2.4257307039154177e-05,0.0006994190196289454
Asymmetric Synapse (GO:0032279),0.00010028741482370717,0.0024785318235001916
Glutamatergic Synapse (GO:0098978),0.00019901607954436444,0.004303722720146881
Postsynaptic Density (GO:0014069),0.00024085624377991624,0.004537170025595481
Exocytic Vesicle Membrane (GO:0099501),0.00026407572343088384,0.004537170025595481
Synaptic Vesicle Membrane (GO:0030672),0.0002884905796621404,0.004537170025595481
Endocytic Vesicle Membrane (GO:0030666),0.00034154103211942014,0.004923883213054973
Axon (GO:0030424),0.00040237899702391276,0.00535473588347207
Polymeric Cytoskeletal Fiber (GO:0099513),0.0006381460915768425,0.00788566241734241
Microtubule Cytoskeleton (GO:0015630),0.0012836689664480526,0.014804982079700874
Proton-Transporting V-type ATPase Complex (GO:0033176),0.0014311704708589708,0.015474530716162622
Heterotrimeric G-protein Complex (GO:0005834),0.002126679642028761,0.019363977793209246
Vacuolar Proton-Transporting V-type ATPase Complex (GO:0016471),0.002126679642028761,0.019363977793209246
Excitatory Synapse (GO:0060076),0.002126679642028761,0.019363977793209246
Actin Cytoskeleton (GO:0015629),0.0030385612588359106,0.025657577358355468
9+0 Non-Motile Cilium (GO:0097731),0.0031145036099737853,0.025657577358355468
Focal Adhesion (GO:0005925),0.0033523930370849045,0.0259109339080638
Protein Serine/Threonine Phosphatase Complex (GO:0008287),0.0036901930829803748,0.0259109339080638
Cell-Substrate Junction (GO:0030055),0.0039092604924843965,0.0259109339080638
Ficolin-1-Rich Granule (GO:0101002),0.003925987388090791,0.0259109339080638
Apical Dendrite (GO:0097440),0.003975947621558407,0.0259109339080638
Microtubule (GO:0005874),0.004043902979871229,0.0259109339080638
Ionotropic Glutamate Receptor Complex (GO:0008328),0.00533849444445846,0.032984269246118345
Cytoplasmic Side Of Lysosomal Membrane (GO:0098574),0.007135427396371334,0.04256651515766348
Voltage-Gated Potassium Channel Complex (GO:0008076),0.008056178117233264,0.04558565042322481
Vacuolar Lumen (GO:0005775),0.008168526954450687,0.04558565042322481
Extrinsic Component Of Cytoplasmic Side Of Plasma Membrane (GO:0031234),0.009688908726046644,0.05205930640965446
Cytoplasmic Vesicle Membrane (GO:0030659),0.00995722003618032,0.05205930640965446
Membrane Raft (GO:0045121),0.010231308774151744,0.05205930640965446
Ficolin-1-Rich Granule Lumen (GO:1904813),0.010843637860938112,0.05340365815840037
Axonal Growth Cone (GO:0044295),0.011112899963597765,0.05340365815840037
Potassium Channel Complex (GO:0034705),0.011522757636191039,0.053876677596244586
Protein Phosphatase Type 2A Complex (GO:0000159),0.012610881755265077,0.056037327122201226
Phagocytic Vesicle Membrane (GO:0030670),0.012632692241421085,0.056037327122201226
Lysosomal Lumen (GO:0043202),0.014110528934714905,0.05988170909541809
Transcription Factor TFTC Complex (GO:0033276),0.014191618918567291,0.05988170909541809
Lysosomal Membrane (GO:0005765),0.015612630163098573,0.06430916710038222
SAGA Complex (GO:0000124),0.025307197603603383,0.1018173298935671
Calcium Channel Complex (GO:0034704),0.025941288475005462,0.10199642968581693
Transport Vesicle Membrane (GO:0030658),0.027094908305285874,0.10416486970698792
Dendrite Membrane (GO:0032590),0.03650761020984499,0.13531998022307554
Lytic Vacuole Membrane (GO:0098852),0.03676323162129798,0.13531998022307554
Non-Motile Cilium (GO:0097730),0.041429298853694965,0.14627078983039243
Rough Endoplasmic Reticulum (GO:0005791),0.041429298853694965,0.14627078983039243
Synaptic Membrane (GO:0097060),0.0439783403324907,0.15216505755041781
