term,p-value,q-value
Regulation Of Synapse Assembly (GO:0051963),6.519851274358066e-05,0.04081426897748149
Negative Regulation Of Microtubule Polymerization Or Depolymerization (GO:0031111),0.00030555948951030155,0.06492442089862249
Regulation Of Nitric Oxide Metabolic Process (GO:0080164),0.0003697031807093683,0.06492442089862249
Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903555),0.0004915767701450155,0.06492442089862249
Muscle Cell Differentiation (GO:0042692),0.0005185656621295727,0.06492442089862249
Regulation Of Microtubule Polymerization (GO:0031113),0.0006533576327403233,0.06660819106869592
Cellular Response To Interleukin-12 (GO:0071349),0.0007856794992100311,0.06660819106869592
Smooth Muscle Cell Differentiation (GO:0051145),0.0009576257501889189,0.06660819106869592
Negative Regulation Of Microtubule Polymerization (GO:0031115),0.0009576257501889189,0.06660819106869592
Synaptic Membrane Adhesion (GO:0099560),0.001145981452841523,0.07173843894787935
Chondroitin Sulfate Biosynthetic Process (GO:0030206),0.001350607337048866,0.0768618357265991
Regulation Of Interleukin-1 Production (GO:0032652),0.0020607262735191276,0.08576411176112435
Regulation Of Presynapse Assembly (GO:1905606),0.0020607262735191276,0.08576411176112435
Regulation Of Presynapse Organization (GO:0099174),0.0020607262735191276,0.08576411176112435
Chondroitin Sulfate Metabolic Process (GO:0030204),0.0020607262735191276,0.08576411176112435
Positive Regulation Of Cell Junction Assembly (GO:1901890),0.002232090715723693,0.08576411176112435
Positive Regulation Of Heart Rate (GO:0010460),0.0023290573481455495,0.08576411176112435
Chondroitin Sulfate Proteoglycan Biosynthetic Process (GO:0050650),0.0029123453344535267,0.10128489885377265
Negative Regulation Of Microtubule Depolymerization (GO:0007026),0.0032270347482887224,0.10632230275940738
Negative Regulation Of Supramolecular Fiber Organization (GO:1902904),0.0034383610832529024,0.10762070190581585
Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880),0.0039018419094564607,0.11631204930094022
Negative Regulation Of Protein Depolymerization (GO:1901880),0.00426169712968506,0.12126465469012941
Regulation Of Microtubule Depolymerization (GO:0031114),0.0046363464554137895,0.12618925569952313
