term,p-value,q-value
Neuron Projection (GO:0043005),1.2911031872848233e-05,0.0014589466016318503
Cytoskeleton (GO:0005856),0.00012703350697739025,0.007177393144222549
Excitatory Synapse (GO:0060076),0.00019545258891225063,0.007362047515694773
Microtubule Cytoskeleton (GO:0015630),0.0012266131134908425,0.03052294003923803
Polymeric Cytoskeletal Fiber (GO:0099513),0.0016607531640444753,0.03052294003923803
Microtubule (GO:0005874),0.0018981355959648762,0.03052294003923803
Exocytic Vesicle Membrane (GO:0099501),0.002047861422943544,0.03052294003923803
Synaptic Vesicle Membrane (GO:0030672),0.002160916108972604,0.03052294003923803
Vesicle (GO:0031982),0.005278870402301104,0.06627915060666942
Membrane Raft (GO:0045121),0.008632234494068273,0.089380933993159
Dendrite (GO:0030425),0.00934174654696651,0.089380933993159
Synaptic Membrane (GO:0097060),0.009491780601043434,0.089380933993159
Ionotropic Glutamate Receptor Complex (GO:0008328),0.010711742912184876,0.093109765313607
Hrd1p Ubiquitin Ligase ERAD-L Complex (GO:0000839),0.02352761014601,0.18990142474993785
Asymmetric Synapse (GO:0032279),0.025540564445727585,0.1924055854911478
Mitotic Spindle (GO:0072686),0.030745545522200865,0.19753672194556096
Hrd1p Ubiquitin Ligase Complex (GO:0000836),0.03278457410233855,0.19753672194556096
Postsynaptic Density (GO:0014069),0.035281029448591524,0.19753672194556096
Cortical Cytoskeleton (GO:0030863),0.03615219950819305,0.19753672194556096
Dendrite Cytoplasm (GO:0032839),0.037380442146754005,0.19753672194556096
Cytoplasmic Vesicle Membrane (GO:0030659),0.03796082352355339,0.19753672194556096
Endocytic Vesicle Membrane (GO:0030666),0.04014303696354491,0.19753672194556096
Vacuolar Lumen (GO:0005775),0.04140903646222666,0.19753672194556096
Apical Dendrite (GO:0097440),0.041954702006136844,0.19753672194556096
Neuron Projection Cytoplasm (GO:0120111),0.046507454029938514,0.20212855020704046
Nuclear Inclusion Body (GO:0042405),0.046507454029938514,0.20212855020704046
